"","Date","ID","pH","Replicate","Num","Run","Fed_Unfed","Time_period","AlgaeLossRatio","ClearanceRate_L_hour_mm"
"1","20210914","7.5_Run_1_Rep_A_Num_1","7.5","A","1","1",NA,"0-90",2.52207293666027,0.00668780517661411
"2","20210914","7.5_Run_1_Rep_B_Num_1","7.5","B","1","1",NA,"0-90",1.87482419127989,0.00392689956472623
"3","20210914","7.5_Run_1_Rep_C_Num_1","7.5","C","1","1",NA,"0-90",2.77079107505071,0.00511982654346423
"4","20210914","8_Run_1_Rep_A_Num_1","8","A","1","1",NA,"0-90",1.34359483614697,0.00185109403326202
"5","20210914","8_Run_1_Rep_B_Num_1","8","B","1","1",NA,"0-90",1.73663624511082,0.00276513897504972
"6","20210914","8_Run_1_Rep_C_Num_1","8","C","1","1",NA,"0-90",1.21594982078853,0.000680421023759259
"7","20210914","7.5_Run_2_Rep_A_Num_2","7.5","A","2","2",NA,"0-90",1.74504950495049,0.0031822705112572
"8","20210914","7.5_Run_2_Rep_B_Num_2","7.5","B","2","2",NA,"0-90",7.046875,0.0107377567190427
"9","20210914","7.5_Run_2_Rep_D_Num_1","7.5","D","1","2",NA,"0-90",2.76709796672828,0.00540008196588602
"10","20210914","8_Run_2_Rep_A_Num_2","8","A","2","2",NA,"0-90",2.51423487544484,0.00459311387384979
"11","20210914","8_Run_2_Rep_B_Num_2","8","B","2","2",NA,"0-90",1.57222844344905,0.00276602525354267
"12","20210914","8_Run_2_Rep_D_Num_1","8","D","1","2",NA,"0-90",2.09728867623604,0.00395023654699622
"13","20210914","7.5_Run_3_Rep_A_Num_3","7.5","A","3","3",NA,"0-90",1.19592628516004,0.000329413036558369
"14","20210914","7.5_Run_3_Rep_C_Num_2","7.5","C","2","3",NA,"0-90",1.53554502369668,0.00182632130168786
"15","20210914","7.5_Run_3_Rep_D_Num_2","7.5","D","2","3",NA,"0-90",1.60526315789474,0.00212413804056893
"16","20210914","8_Run_3_Rep_A_Num_3","8","A","3","3",NA,"0-90",1.12084063047285,9.88140760940888e-05
"17","20210914","8_Run_3_Rep_C_Num_2","8","C","2","3",NA,"0-90",1.54021608643457,0.00223935585065576
"18","20210914","8_Run_3_Rep_D_Num_2","8","D","2","3",NA,"0-90",3.44358974358974,0.00541414569905138
"19","20210914","7.5_Run_4_Rep_B_Num_3","7.5","B","3","4",NA,"0-90",2.01371951219512,0.00297936408051076
"20","20210914","7.5_Run_4_Rep_C_Num_3","7.5","C","3","4",NA,"0-90",1.41069518716578,0.0016248971079561
"21","20210914","7.5_Run_4_Rep_D_Num_3","7.5","D","3","4",NA,"0-90",1.3395853899309,0.00137362267426885
"22","20210914","8_Run_4_Rep_B_Num_3","8","B","3","4",NA,"0-90",1.25260416666667,0.000957081969025918
